	race_date	race_date_url	kyousou	hassoujikoku	henkou	kyousoushurui	kyousoumei	course	tenkou	baba	tousuu	race_url	result_url	wakuban	umaban	bamei	seirei	keiro	chichimei	hahamei	hahachichimei	kishu	futanjuuryou	kijouseiseki	choukyoushi	banushi	seisanbokujou	odds	ninki	bataijuu	zougen	henkoujouhou	r1_chakujun	r1_kyousoubi	r1_babajoutai	r1_shussoutousuu	r1_keibajou	r1_course	r1_umaban	r1_racemei	r1_ninki	r1_bataijuu	r1_genryou	r1_kishu	r1_futanjuuryou	r1_time	r1_cornertsuukajun	r1_agari3ftime	r1_1chakubatonotimesa	r1_1chakubamei	r2_chakujun	r2_kyousoubi	r2_babajoutai	r2_shussoutousuu	r2_keibajou	r2_course	r2_umaban	r2_racemei	r2_ninki	r2_bataijuu	r2_genryou	r2_kishu	r2_futanjuuryou	r2_time	r2_cornertsuukajun	r2_agari3ftime	r2_1chakubatonotimesa	r2_1chakubamei	r3_chakujun	r3_kyousoubi	r3_babajoutai	r3_shussoutousuu	r3_keibajou	r3_course	r3_umaban	r3_racemei	r3_ninki	r3_bataijuu	r3_genryou	r3_kishu	r3_futanjuuryou	r3_time	r3_cornertsuukajun	r3_agari3ftime	r3_1chakubatonotimesa	r3_1chakubamei	r4_chakujun	r4_kyousoubi	r4_babajoutai	r4_shussoutousuu	r4_keibajou	r4_course	r4_umaban	r4_racemei	r4_ninki	r4_bataijuu	r4_genryou	r4_kishu	r4_futanjuuryou	r4_time	r4_cornertsuukajun	r4_agari3ftime	r4_1chakubatonotimesa	r4_1chakubamei	r5_chakujun	r5_kyousoubi	r5_babajoutai	r5_shussoutousuu	r5_keibajou	r5_course	r5_umaban	r5_racemei	r5_ninki	r5_bataijuu	r5_genryou	r5_kishu	r5_futanjuuryou	r5_time	r5_cornertsuukajun	r5_agari3ftime	r5_1chakubatonotimesa	r5_1chakubamei	zenseiseki	dirthidarimawari	dirtmigimawari	toucourse
0	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	1	1	マントルパワー	牡3	栗毛	ローエングリン	メイショウブリーズ	（サンデーサイレンス）	笹川翼（大井）	56.0	1-1-0-1	橋本馬（大井）	和田博美	日西牧場	3.8	(2人気)	492	(0)		6	18.12.03	良	13頭	大井ナ	右1600	12番	Ｃ１一 二	3人	492		笹川翼	56.0	1:44.4	3-5-6-6	39.7	1.2	ミヤジフランガン	2	18.11.12	重	13頭	大井ナ	右1600	7番	Ｃ１一 二 三	5人	484		笹川翼	56.0	1:44.4	4-4-4-3	40.5	0.7	クライフォーローズ	1	18.10.30	良	13頭	大井ナ	右1600	3番	Ｃ１五 六	5人	482		笹川翼	56.0	1:44.1	1-1-1-1	39.7	0.1	ロジキャロル	2	18.10.11	良	13頭	大井ナ	右1600	10番	ｎｅｔｋｅｉｂａウマＣ１八 九	9人	484		赤岡修	56.0	1:45.2	2-2-2-2	42.1	1.6	サムライテイオー	9	18.09.26	不良	11頭	大井ナ	右1600	4番	Ｃ１十一 十二	9人	485		西啓太	55.0	1:45.4	6-7-8-7	41.0	1.4	マラキア	3-2-1-13	0-0-0-0	3-2-1-13	2-2-1-10
1	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	2	2	サウンディングベル	牡4	黒鹿毛	スクリーンヒーロー	メダーリア	（アフリート）	藤本現（大井）	56.0	0-0-0-0	中道啓（大井）	伊達敏明	サンシャイン牧場	14.3	(6人気)	459	(+5)		6	18.11.14	稍重	12頭	門別	右1200	3番	冬桜特別Ｂ１－２～Ｂ３－１	6人	454		五十冬	57.0	1:13.8	6-5	38.0	1.7	フランシスコダイゴ	4	18.11.08	稍重	11頭	門別	右1200	10番	シクラメン特別Ｂ３－２Ｂ４－１	3人	456		五十冬	57.0	1:14.5	5-4	39.0	0.3	シーズアウーマン	5	18.10.25	重	11頭	門別	右1200	5番	みついし花だより特別Ｂ２－２～	2人	452		五十冬	57.0	1:13.9	5-6	38.2	0.7	ムカワシシャモ	1	18.10.10	重	8頭	門別	右1200	5番	つぼ八特別２Ｂ４－２Ｃ１－１	1人	452		五十冬	56.0	1:14.0	3-1	38.7	0.4	リボース	2	18.09.27	良	12頭	門別	右1200	7番	クレオメ特別Ｂ４－２Ｃ１－１	2人	458		五十冬	56.0	1:15.9	3-2	38.9	0.5	ブルーフォース	2-3-5-15	0-0-1-3	1-3-4-7	0-0-0-0
2	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	3	3	コーラルクリス	牡4	黒鹿毛	シンボリクリスエス	グランフェッテ	（ブラックホーク）	今野忠（川崎）	56.0	0-1-0-0	久保信（大井）	（株）丸若商事	ハシモトフアーム	12.4	(5人気)	532	(+2)		2	18.12.04	良	14頭	大井ナ	右1600	3番	Ｃ１三 四	9人	530		今野忠	56.0	1:44.3	5-4-3-2	39.9	0.4	ネオダラス	9	18.11.12	重	11頭	大井ナ	右1400	2番	Ｃ１一 二 三	6人	533		笹川翼	56.0	1:31.1	6-6-4	41.4	2.1	ペネトラーレ	6	18.10.31	良	10頭	大井ナ	右1400	8番	いたばし二輪草記念Ｃ１Ｃ２選抜	5人	533		的場文	57.0	1:29.6	4-5-4	39.8	0.7	カシノランサム	6	18.10.08	良	14頭	大井ナ	右1400	1番	Ｃ１一 二 三	5人	527		的場文	56.0	1:28.9	7-6-5	39.4	0.4	ストーミースター	7	18.09.18	不良	11頭	大井ナ	右1700	8番	爽籟賞Ｃ１Ｃ２選抜	4人	526		笹川翼	57.0	1:51.4	5-5-5-4	41.6	0.7	カランツフレイバー	2-2-3-26	0-0-1-5	2-2-2-21	2-2-2-21
3	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	4	4	エルグランエーブ	牡6	黒鹿毛	エンパイアメーカー	マザーラドクリフ	（サンデーサイレンス）	井上幹（大井）	56.0	0-0-0-0	上杉昌（大井）	角井紀夫	森牧場	286.2	(12人気)	510	(-19)		11	18.12.04	良	13頭	大井ナ	右1200	5番	カランコエ賞Ｃ１三 四	12人	529		酒井忍	56.0	1:16.8	9-9	39.8	3.0	ポッドグレイシー	10	18.11.12	重	12頭	大井ナ	右1200	10番	Ｃ１一 二 三	11人	519		内田利	56.0	1:16.6	8-8	39.8	1.8	エンセラダス	13	18.10.29	稍重	14頭	大井ナ	右1600	1番	Ｃ１一 二	14人	513		内田利	56.0	1:44.4	4-4-5-5	41.5	1.7	スプリングアース	11	18.10.08	良	11頭	大井ナ	右1600	11番	Ｃ１一 二 三	11人	513		佐藤友	56.0	1:46.2	9-9-9-10	41.5	2.4	アルティマックス	6	18.09.19	不良	14頭	大井ナ	右1200	14番	Ｃ１三 四	14人	514		酒井忍	56.0	1:15.3	4-5	39.3	1.0	キセキノオクリモノ	6-8-8-51	0-0-0-0	6-8-8-51	4-6-6-33
4	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	5	5	エスプリブルース	牡3	鹿毛	パイロ	カザグルマ	（ソウルオブザマター）	御神訓（大井）	56.0	0-0-0-0	澤佳宏（大井）	依田泰雄	沖田牧場	7.1	(3人気)	504	(+1)		10	18.12.03	良	12頭	大井ナ	右1200	12番	ローズマリー賞Ｃ１一 二	4人	503		柏木健	56.0	1:16.2	6-5	40.4	2.4	ランボシ	5	18.11.12	重	12頭	大井ナ	右1200	11番	Ｃ１一 二 三	3人	501		柏木健	56.0	1:15.9	3-4	39.4	1.1	エンセラダス	1	18.10.29	稍重	16頭	大井	右1200	10番	Ｃ１三 四	7人	502		柏木健	56.0	1:14.0	7-5	37.9	0.0	ポッドグレイシー	8	18.10.09	良	16頭	大井ナ	右1200	16番	Ｃ１四 五	8人	505		柏木健	56.0	1:15.4	10-9	38.5	0.8	カメヤマシャチュウ	9	18.09.20	不良	11頭	大井ナ	右1200	5番	紫苑賞Ｃ１五 六 七	4人	505		柏木健	55.0	1:16.1	11-10	39.2	1.7	セイマーメイド	3-0-0-6	0-0-0-0	3-0-0-6	3-0-0-6
5	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20		6	ラッシュウィン	セン3	鹿毛	ローズキングダム	シナノザクラ	（サクラバクシンオー）	千田洋（大井）	56.0	0-0-0-0	村上頼（大井）	岡田勇	大狩部牧場	79.1	(11人気)	475	(+5)		13	18.12.03	良	13頭	大井ナ	右1600	3番	Ｃ１一 二	7人	470		楢崎功	56.0	1:47.4	1-1-1-1	43.7	4.2	ミヤジフランガン	11	18.11.12	重	12頭	大井ナ	右1200	6番	Ｃ１一 二 三	1人	470		矢野貴	56.0	1:17.7	1-1	41.3	2.9	エンセラダス	7	18.08.18	稍重	15頭	Ｊ新潟	左1200	1番	３歳未勝利	1人	452		▲山田敬	53.0	1:14.2	3-3	38.9	1.2	カシマフウリン	3	18.07.22	良	16頭	Ｊ福島	右1150	15番	３歳未勝利	1人	450		丸田恭	56.0	1:09.8	1-1	38.6	0.2	ミッキーボニータ	3	18.07.08	重	16頭	Ｊ福島	右1150	2番	３歳未勝利	3人	454		丸田恭	56.0	1:09.2	1-1	37.5	0.6	シェーナ	0-2-2-7	0-2-0-2	0-0-2-3	0-0-0-2
6	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	6	7	アルジャントゥイユ	牡4	栗毛	ダイワメジャー	アンプレショニスト	（エアジハード）	坂井英（大井）	56.0	0-1-0-4	小野晋（大井）	（有）ジェムインタ	社台ファーム	45.2	(9人気)	450	(-1)		8	18.12.03	良	13頭	大井ナ	右1600	7番	Ｃ１一 二	8人	451		坂井英	56.0	1:44.5	12-11-9-8	39.4	1.3	ミヤジフランガン	5	18.11.15	稍重	14頭	大井ナ	右1700	6番	サフラン賞Ｃ１Ｃ２選抜	7人	447		坂井英	57.0	1:52.3	13-13-13-11	38.5	0.8	リックマドカ	2	18.10.29	稍重	8頭	大井	右1600	4番	Ｃ１三 四	8人	445		坂井英	56.0	1:43.0	8-8-8-8	38.7	0.2	クライフォーローズ	7	18.10.09	良	13頭	大井ナ	右1600	13番	Ｃ１四 五	12人	440		坂井英	56.0	1:45.2	11-12-12-11	39.4	1.2	シングンアリス	12	18.09.19	不良	14頭	大井ナ	右1200	6番	Ｃ１三 四	13人	442		坂井英	56.0	1:16.2	11-13	38.9	1.9	キセキノオクリモノ	1-1-0-19	0-0-0-2	0-1-0-7	0-1-0-7
7	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20		8	ショルト	牝4	黒鹿毛	ハーツクライ	アンコンソールド	（Ｓｍａｒｔ　Ｓｔｒｉｋｅ）	真島大（大井）	54.0	1-0-0-2	福永敏（大井）	杉山忠国	明治牧場	2.1	(1人気)	486	(-6)		2	18.12.05	良	15頭	大井ナ	右1600	4番	Ｃ１五 六	3人	492		赤岡修	54.0	1:44.9	1-1-1-1	41.9	0.2	エムオーマンボ	1	18.11.16	稍重	14頭	大井ナ	右1400	5番	山茶花賞Ｃ１十 十一 十二	2人	494		真島大	54.0	1:29.3	1-1-1	39.9	1.1	スプリングホープ	4	18.11.02	良	12頭	大井	右1600	5番	Ｃ１十 十一	6人	500		真島大	54.0	1:43.5	1-1-1-1	40.6	0.4	チェリーシャクナゲ	5	18.07.13	良	8頭	大井ナ	右1600	7番	Ｃ１十 十一	4人	493		真島大	54.0	1:44.0	1-1-1-1	41.5	1.2	ライブロック	11	18.06.27	良	14頭	大井	右1400	2番	あの３人がついにやＣ１六 七 八	2人	503		森泰斗	54.0	1:32.5	1-1-1	43.4	3.5	ワイルドファイア	7-1-1-6	0-0-0-0	7-1-1-4	1-1-0-3
8	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	7	9	スカイルーク	牡3	鹿毛	パイロ	ジュエルシャネル	（アグネスワールド）	西啓太（大井）	56.0	0-0-0-0	堀千亜（大井）	菅原広隆	荒谷牧場	26.8	(8人気)	500	(+22)		12	18.10.28	良	16頭	Ｊ京都	右1200	7番	３歳上	15人	478		酒井学	55.0	1:13.6	6-6	37.2	2.5	バーニングペスカ	16	18.05.19	稍重	16頭	Ｊ京都	右1400	10番	３歳	15人	460		幸英明	56.0	1:27.3	3-3	40.0	2.2	ソウルセイバー	11	18.04.22	良	11頭	Ｊ京都	芝右1600	7番	３歳	10人	460		幸英明	56.0	1:37.2	6-10	38.0	3.4	アルジャーノン	15	18.02.11	不良	16頭	Ｊ京都	右1800	2番	３歳	16人	472		岩崎翼	56.0	1:56.0	3-3-10-15	41.1	4.4	グレートタイム	11	18.01.27	稍重	16頭	Ｊ中京	左1400	10番	はこべら賞３歳	15人	468		岩崎翼	56.0	1:28.6	4-4	41.3	2.6	バーンフライ	1-0-2-8	0-0-0-2	1-0-2-5	0-0-0-0
9	20181225	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceList?k_raceDate=2018%2f12%2f25&k_babaCode=20	9R	19:35			サンタクロース賞Ｃ１一 二 三	右1400m	晴	稍重	12	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/DebaTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20	http://www2.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2f12%2f25&k_raceNo=9&k_babaCode=20		10	サチノマリアージュ	牝6	鹿毛	サウスヴィグラス	ヒシアリアケ	（シンボリクリスエス）	服部茂（船橋）	54.0	0-0-0-0	矢野義（船橋）	佐藤勝士	中村雅明	71.4	(10人気)	525	(-8)		8	18.12.14	重	12頭	船橋ナ	左1200	11番	エコリーン賞Ｃ１選抜牝馬ア	8人	533		井上幹	54.0	1:16.6	7-8-8	39.7	1.3	ボーダレスガール	5	18.11.23	良	12頭	浦和	左1400	8番	勤労感謝の日特別Ｂ３六Ｃ１一	5人	533		吉原寛	53.0	1:29.5	2-2-3-3	40.0	0.9	スケロク	7	18.11.08	稍重	12頭	船橋ナ	左1500	1番	ダイゼン賞Ｃ１Ｃ２選抜牝馬	12人	531		小杉亮	55.0	1:38.9	5-5-5-6	42.1	0.9	プレミアムゲーム	4	18.10.25	良	9頭	浦和	左1600	5番	秋陽特別Ｃ１二	7人	534		佐藤友	54.0	1:43.8	2-2-3-4	40.1	1.3	クールモンスター	6	18.10.04	稍重	12頭	船橋ナ	左1200	7番	ゴイサギ賞Ｃ１Ｃ２選抜牝馬	12人	534		西村栄	55.0	1:15.1	8-8-8	38.1	1.0	エムオークィーン	4-6-6-38	4-4-6-31	0-2-0-7	0-2-0-7
